Model,MAE,RMSE,R2 Score
Linear Regression,302275.982015756,595505.9325804912,0.43711207599575064
Decision Tree,131914.83231132437,346389.39251258236,0.8095509042117821
CatBoost,128201.49154345618,299337.898279497,0.8577759122259069
XGBoost,98179.01413293926,261148.23381224685,0.891750990107591
MLP,230904.56070040498,481539.09951020434,0.6319448835743517
